Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer,Crop_Cotton,Crop_Ginger,Crop_Gram,Crop_Grapes,Crop_Groundnut,Crop_Jowar,Crop_Maize,Crop_Masoor,Crop_Moong,Crop_Rice,Crop_Soybean,Crop_Sugarcane,Crop_Tur,Crop_Turmeric,Crop_Urad,Crop_Wheat,Soil_color_Black,Soil_color_Dark Brown,Soil_color_Light Brown,Soil_color_Medium Brown,Soil_color_Red,Soil_color_Red ,Soil_color_Reddish Brown
0.42307692307692313,0.5,0.6551724137931035,0.33333333333333326,1000,20,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.46153846153846156,0.5,0.6551724137931035,0.33333333333333326,1000,20,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5,0.5,0.6551724137931035,0.33333333333333326,1000,20,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5384615384615384,0.5,0.6551724137931035,0.33333333333333326,1000,20,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.576923076923077,0.5,0.6551724137931035,0.33333333333333326,1000,20,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.6153846153846154,0.5,0.6551724137931035,0.33333333333333326,1000,20,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.42307692307692313,0.5625,0.6896551724137931,0.4999999999999998,1100,25,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.46153846153846156,0.5625,0.6896551724137931,0.4999999999999998,1100,25,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5,0.5625,0.6896551724137931,0.4999999999999998,1100,25,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5384615384615384,0.5625,0.6896551724137931,0.4999999999999998,1100,25,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.576923076923077,0.5625,0.6896551724137931,0.4999999999999998,1100,25,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.6153846153846154,0.5625,0.6896551724137931,0.4999999999999998,1100,25,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.42307692307692313,0.625,0.7241379310344828,0.6666666666666667,1200,30,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.46153846153846156,0.625,0.7241379310344828,0.6666666666666667,1200,30,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5,0.625,0.7241379310344828,0.6666666666666667,1200,30,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5384615384615384,0.625,0.7241379310344828,0.6666666666666667,1200,30,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.576923076923077,0.625,0.7241379310344828,0.6666666666666667,1200,30,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.6153846153846154,0.625,0.7241379310344828,0.6666666666666667,1200,30,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.42307692307692313,0.5,0.7586206896551725,0.33333333333333326,1300,35,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.46153846153846156,0.5,0.7586206896551725,0.33333333333333326,1300,35,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5,0.5,0.7586206896551725,0.33333333333333326,1300,35,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5384615384615384,0.5,0.7586206896551725,0.33333333333333326,1300,35,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.576923076923077,0.5,0.7586206896551725,0.33333333333333326,1300,35,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.6153846153846154,0.5,0.7586206896551725,0.33333333333333326,1300,35,Urea,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.42307692307692313,0.5625,0.6551724137931035,0.4999999999999998,1400,20,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.46153846153846156,0.5625,0.6551724137931035,0.4999999999999998,1400,20,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5,0.5625,0.6551724137931035,0.4999999999999998,1400,20,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5384615384615384,0.5625,0.6551724137931035,0.4999999999999998,1400,20,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.576923076923077,0.5625,0.6551724137931035,0.4999999999999998,1400,20,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.6153846153846154,0.5625,0.6551724137931035,0.4999999999999998,1400,20,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.42307692307692313,0.625,0.6896551724137931,0.6666666666666667,1500,25,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.46153846153846156,0.625,0.6896551724137931,0.6666666666666667,1500,25,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5,0.625,0.6896551724137931,0.6666666666666667,1500,25,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.5384615384615384,0.625,0.6896551724137931,0.6666666666666667,1500,25,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.576923076923077,0.625,0.6896551724137931,0.6666666666666667,1500,25,DAP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
